"_airbyte_ab_id",_airbyte_emitted_at,_airbyte_data
c71df37d-52ed-4360-aa64-48467f971d62,1681370611365,"{""facility"":""Peterbaar"",""date_auto"":""2023-04-12"",""girl_number"":12,""man_number"":178,""woman_number"":21,""boy_number"":21}"
a42aca2a-33a2-4da4-89c7-7ea361bb0ce6,1681370611365,"{""facility"":""Basgoda"",""date_auto"":""2023-04-12"",""girl_number"":52,""man_number"":28,""woman_number"":18,""boy_number"":54}"
904fc085-e048-4f99-8fc8-9e2527bb5f09,1681370611365,"{""facility"":""Vurahi"",""date_auto"":""2023-04-12"",""girl_number"":59,""man_number"":55,""woman_number"":61,""boy_number"":53}"
0d559edb-3caf-4887-bc98-88754b1a3bae,1681370611365,"{""facility"":""Azad Nagar"",""date_auto"":""2023-04-12"",""girl_number"":22,""man_number"":38,""woman_number"":40,""boy_number"":49}"
3321efa1-e89d-40b9-bca4-ef8555b19960,1681370611365,"{""facility"":""Dundibagh"",""date_auto"":""2023-04-12"",""girl_number"":54,""man_number"":45,""woman_number"":41,""boy_number"":68}"
97e1ad7c-6c71-4d2a-9d44-40ce5bfc72b8,1681370611365,"{""facility"":""Gomia"",""date_auto"":""2023-04-12"",""girl_number"":15,""man_number"":64,""woman_number"":12,""boy_number"":96}"
c2fd514d-ad46-434d-825b-eb1c788ec881,1681370611365,"{""facility"":""North Basgoda"",""date_auto"":""2023-04-12"",""girl_number"":23,""man_number"":12,""woman_number"":10,""boy_number"":31}"
3d0dafc0-ef8d-4918-bbe4-0dec78b0bb41,1681370611365,"{""facility"":""Azad Nagar"",""date_auto"":""2023-04-11"",""girl_number"":39,""man_number"":51,""woman_number"":54,""boy_number"":48}"
0f291440-557e-4062-8462-fcc537d8bed8,1681370611365,"{""facility"":""Basgoda"",""date_auto"":""2023-04-11"",""girl_number"":67,""man_number"":24,""woman_number"":22,""boy_number"":62}"
7e121450-b589-4d3f-b3ae-0620c6d4365b,1681370611365,"{""facility"":""Gomia"",""date_auto"":""2023-04-11"",""girl_number"":14,""man_number"":67,""woman_number"":14,""boy_number"":127}"
ff696adb-1dc0-43f1-8a9c-a8c1b7583ac7,1681370611365,"{""facility"":""Vurahi"",""date_auto"":""2023-04-11"",""girl_number"":101,""man_number"":89,""woman_number"":113,""boy_number"":85}"
1d27ab64-fe5a-4973-937f-c8668729542a,1681370611365,"{""facility"":""North Basgoda"",""date_auto"":""2023-04-11"",""girl_number"":33,""man_number"":19,""woman_number"":13,""boy_number"":38}"
91f4f3eb-6d8e-475f-aaf9-e62a94eb5099,1681370611365,"{""facility"":""Peterbaar"",""date_auto"":""2023-04-11"",""girl_number"":13,""man_number"":210,""woman_number"":31,""boy_number"":45}"
3a15b614-8bd9-4286-93a7-51832bc59fd5,1681370611365,"{""facility"":""Dundibagh"",""date_auto"":""2023-04-11"",""girl_number"":66,""man_number"":52,""woman_number"":54,""boy_number"":68}"
dda3306b-8e06-482e-8941-2784c8ef7d13,1681370611365,"{""facility"":""Dundibagh"",""date_auto"":""2023-04-10"",""girl_number"":80,""man_number"":50,""woman_number"":62,""boy_number"":79}"
f8d96f6d-360a-45d0-89ac-fa05cc1ebc13,1681370611365,"{""facility"":""North Basgoda"",""date_auto"":""2023-04-10"",""girl_number"":37,""man_number"":19,""woman_number"":15,""boy_number"":39}"
e3b93641-9099-45fd-aab1-1bf213dcbbc5,1681370611365,"{""facility"":""Peterbaar"",""date_auto"":""2023-04-10"",""girl_number"":11,""man_number"":120,""woman_number"":33,""boy_number"":50}"
3964a584-9499-47c6-82ba-ed36404e1c18,1681370611365,"{""facility"":""Gomia"",""date_auto"":""2023-04-10"",""girl_number"":17,""man_number"":71,""woman_number"":15,""boy_number"":145}"
e7e5f9db-df55-4b9f-82cb-c8d7f48c6a0d,1681370611365,"{""facility"":""Vurahi"",""date_auto"":""2023-04-10"",""girl_number"":108,""man_number"":85,""woman_number"":94,""boy_number"":83}"
f24a8cd8-2c31-4b91-9b1d-7ecf3ae252d1,1681370611365,"{""facility"":""Basgoda"",""date_auto"":""2023-04-10"",""girl_number"":66,""man_number"":24,""woman_number"":24,""boy_number"":64}"
64cbe8d9-c55e-4179-a656-bb5ef608cb9b,1681370611365,"{""facility"":""Azad Nagar"",""date_auto"":""2023-04-10"",""girl_number"":40,""man_number"":46,""woman_number"":44,""boy_number"":48}"
6ba01872-b38a-48ec-a720-826812a2af39,1681370611365,"{""facility"":""Basgoda"",""date_auto"":""2023-04-09"",""girl_number"":69,""man_number"":26,""woman_number"":23,""boy_number"":68}"
c9fc6453-76be-47db-868f-0b415b306816,1681370611365,"{""facility"":""Peterbaar"",""date_auto"":""2023-04-09"",""girl_number"":17,""man_number"":205,""woman_number"":52,""boy_number"":42}"
4b4a2105-b3c1-4a22-a20f-4be9aea67da4,1681370611365,"{""facility"":""North Basgoda"",""date_auto"":""2023-04-09"",""girl_number"":40,""man_number"":18,""woman_number"":14,""boy_number"":47}"
d4b8564e-2176-4e27-816c-4056326d8af7,1681370611365,"{""facility"":""Vurahi"",""date_auto"":""2023-04-09"",""girl_number"":109,""man_number"":105,""woman_number"":110,""boy_number"":91}"
34b802eb-6415-45c2-9806-060497bd2523,1681370611365,"{""facility"":""Azad Nagar"",""date_auto"":""2023-04-09"",""girl_number"":57,""man_number"":65,""woman_number"":64,""boy_number"":63}"
f3bed383-3ca3-4e90-ad4d-c3738eedaaf9,1681370611365,"{""facility"":""Gomia"",""date_auto"":""2023-04-09"",""girl_number"":18,""man_number"":72,""woman_number"":17,""boy_number"":134}"
ae612c30-f310-4f0f-8782-fa8c3734063f,1681370611365,"{""facility"":""Dundibagh"",""date_auto"":""2023-04-09"",""girl_number"":84,""man_number"":54,""woman_number"":66,""boy_number"":89}"
21e77198-f466-477e-b32d-de375492511d,1681370611365,"{""facility"":""Azad Nagar"",""date_auto"":""2023-04-08"",""girl_number"":49,""man_number"":61,""woman_number"":62,""boy_number"":57}"
a04b819a-b1ba-4802-a4d5-f43c0334271d,1681370611365,"{""facility"":""Dundibagh"",""date_auto"":""2023-04-08"",""girl_number"":81,""man_number"":61,""woman_number"":54,""boy_number"":86}"
09f4adf9-a7af-4239-9036-125a02b77ac8,1681370611365,"{""facility"":""Gomia"",""date_auto"":""2023-04-08"",""girl_number"":14,""man_number"":67,""woman_number"":16,""boy_number"":138}"
0759d112-1c33-441a-8975-8035739b7636,1681370611365,"{""facility"":""Basgoda"",""date_auto"":""2023-04-08"",""girl_number"":64,""man_number"":27,""woman_number"":20,""boy_number"":63}"
