"_airbyte_ab_id",_airbyte_emitted_at,_airbyte_data
cfa2308e-3603-4828-a562-21fd5e370243,1681370611365,"{""_dbt_source_relation"":""\""postgres\"".\""prod\"".\""daily_issue_form_clean\"""",""_id"":""214116918"",""date_auto"":""2023-01-20"",""facility"":""Gomia"",""shift_type"":""2"",""any_issue"":false,""issue"":null,""fixed"":null,""any_isue"":null,""full_partial"":null,""num_hours"":null,""shutdown"":null}"
c9d50297-3a6f-445b-8f3b-4728f88da049,1681370611365,"{""_dbt_source_relation"":""\""postgres\"".\""prod\"".\""daily_issue_form_clean\"""",""_id"":""214259543"",""date_auto"":""2023-01-21"",""facility"":""Basgoda"",""shift_type"":""1"",""any_issue"":false,""issue"":null,""fixed"":null,""any_isue"":null,""full_partial"":null,""num_hours"":null,""shutdown"":null}"
a610fa2d-f12d-4c2c-b87b-4da137643ee8,1681370611365,"{""_dbt_source_relation"":""\""postgres\"".\""prod\"".\""daily_issue_form_clean\"""",""_id"":""214307375"",""date_auto"":""2023-01-21"",""facility"":""Basgoda"",""shift_type"":""2"",""any_issue"":false,""issue"":null,""fixed"":null,""any_isue"":null,""full_partial"":null,""num_hours"":null,""shutdown"":null}"
b583d7e0-02e1-4bf1-b0ef-4e6d3387361c,1681370611365,"{""_dbt_source_relation"":""\""postgres\"".\""prod\"".\""daily_issue_form_clean\"""",""_id"":""214398257"",""date_auto"":""2023-01-22"",""facility"":""Dundibagh"",""shift_type"":""1"",""any_issue"":false,""issue"":null,""fixed"":null,""any_isue"":null,""full_partial"":null,""num_hours"":null,""shutdown"":null}"
91908104-7b17-43aa-96a2-8f90e4422857,1681370611365,"{""_dbt_source_relation"":""\""postgres\"".\""prod\"".\""daily_issue_form_clean\"""",""_id"":""214412253"",""date_auto"":""2023-01-22"",""facility"":""Dundibagh"",""shift_type"":""1"",""any_issue"":false,""issue"":null,""fixed"":null,""any_isue"":null,""full_partial"":null,""num_hours"":null,""shutdown"":null}"
d021dab8-2dfc-4c12-8e44-a7f0d0e70a7c,1681370611365,"{""_dbt_source_relation"":""\""postgres\"".\""prod\"".\""daily_issue_form_clean\"""",""_id"":""214412527"",""date_auto"":""2023-01-22"",""facility"":""Basgoda"",""shift_type"":""1"",""any_issue"":false,""issue"":null,""fixed"":null,""any_isue"":null,""full_partial"":null,""num_hours"":null,""shutdown"":null}"
79a5194e-5094-46d4-a0b9-355e715190b6,1681370611365,"{""_dbt_source_relation"":""\""postgres\"".\""prod\"".\""daily_issue_form_clean\"""",""_id"":""214412564"",""date_auto"":""2023-01-22"",""facility"":""Basgoda North"",""shift_type"":""1"",""any_issue"":false,""issue"":null,""fixed"":null,""any_isue"":null,""full_partial"":null,""num_hours"":null,""shutdown"":null}"
84f89461-7aeb-4405-be7d-7965cae8074a,1681370611365,"{""_dbt_source_relation"":""\""postgres\"".\""prod\"".\""daily_issue_form_clean\"""",""_id"":""214412705"",""date_auto"":""2023-01-21"",""facility"":""Gomia"",""shift_type"":""2"",""any_issue"":false,""issue"":null,""fixed"":null,""any_isue"":null,""full_partial"":null,""num_hours"":null,""shutdown"":null}"
d86200c7-97ec-488c-9b8a-5bef7b3a81c0,1681370611365,"{""_dbt_source_relation"":""\""postgres\"".\""prod\"".\""daily_issue_form_clean\"""",""_id"":""214414119"",""date_auto"":""2023-01-22"",""facility"":""Azad Nagar"",""shift_type"":""1"",""any_issue"":false,""issue"":null,""fixed"":null,""any_isue"":null,""full_partial"":null,""num_hours"":null,""shutdown"":null}"
d3bd8fe7-f209-47b7-8883-c24ecb772a96,1681370611365,"{""_dbt_source_relation"":""\""postgres\"".\""prod\"".\""daily_issue_form_clean\"""",""_id"":""214447938"",""date_auto"":""2023-01-22"",""facility"":""Gomia"",""shift_type"":""2"",""any_issue"":false,""issue"":null,""fixed"":null,""any_isue"":null,""full_partial"":null,""num_hours"":null,""shutdown"":null}"
a4e3cc6d-0375-45ae-bafe-f07e3fb31b39,1681370611365,"{""_dbt_source_relation"":""\""postgres\"".\""prod\"".\""daily_issue_form_clean\"""",""_id"":""214448799"",""date_auto"":""2023-01-22"",""facility"":""Basgoda"",""shift_type"":""2"",""any_issue"":false,""issue"":null,""fixed"":null,""any_isue"":null,""full_partial"":null,""num_hours"":null,""shutdown"":null}"
